wavenumber_cm-1,absorbance
2500.0,-0.0
2500.001,-0.0
2500.002,-0.0
2500.003,-0.0
2500.004,-0.0
2500.005,-0.0
2500.006,-0.0
2500.007,-0.0
2500.008,-0.0
2500.009,-0.0
2500.01,-0.0
2500.011,-0.0
2500.012,-0.0
2500.013,-0.0
2500.014,-0.0
2500.015,-0.0
2500.016,-0.0
2500.017,-0.0
2500.018,-0.0
2500.019,-0.0
2500.02,-0.0
2500.021,-0.0
2500.022,-0.0
2500.023,-0.0
2500.024,-0.0
2500.025,-0.0
2500.026,-0.0
2500.027,-0.0
2500.028,-0.0
2500.029,-0.0
2500.03,-0.0
2500.031,-0.0
2500.032,-0.0
2500.033,-0.0
2500.034,-0.0
2500.035,-0.0
2500.036,-0.0
2500.037,-0.0
2500.038,-0.0
2500.039,-0.0
2500.04,-0.0
2500.041,-0.0
2500.042,-0.0
2500.043,-0.0
2500.044,-0.0
2500.045,-0.0
2500.046,-0.0
2500.047,-0.0
2500.048,-0.0
2500.049,-0.0
2500.05,-0.0
2500.051,-0.0
2500.052,-0.0
2500.053,-0.0
2500.054,-0.0
2500.055,-0.0
2500.056,-0.0
2500.057,-0.0
2500.058,-0.0
2500.059,-0.0
2500.06,-0.0
2500.061,-0.0
2500.062,-0.0
2500.063,-0.0
2500.064,-0.0
2500.065,-0.0
2500.066,-0.0
2500.067,-0.0
2500.068,-0.0
2500.069,-0.0
2500.07,-0.0
2500.071,-0.0
2500.072,-0.0
2500.073,-0.0
2500.074,-0.0
2500.075,-0.0
2500.076,-0.0
2500.077,-0.0
2500.078,-0.0
2500.079,-0.0
2500.08,-0.0
2500.081,-0.0
2500.082,-0.0
2500.083,-0.0
2500.084,-0.0
2500.085,-0.0
2500.086,-0.0
2500.087,-0.0
2500.088,-0.0
2500.089,-0.0
2500.09,-0.0
2500.091,-0.0
2500.092,-0.0
2500.093,-0.0
2500.094,-0.0
2500.095,-0.0
2500.096,-0.0
2500.097,-0.0
2500.098,-0.0
2500.099,-0.0
2500.1,-0.0
2500.101,-0.0
2500.102,-0.0
2500.103,-0.0
2500.104,-0.0
2500.105,-0.0
2500.106,-0.0
2500.107,-0.0
2500.108,-0.0
2500.109,-0.0
2500.11,-0.0
2500.111,-0.0
2500.112,-0.0
2500.113,-0.0
2500.114,-0.0
2500.115,-0.0
2500.116,-0.0
2500.117,-0.0
2500.118,-0.0
2500.119,-0.0
2500.12,-0.0
2500.121,-0.0
2500.122,-0.0
2500.123,-0.0
2500.124,-0.0
2500.125,-0.0
2500.126,-0.0
2500.127,-0.0
2500.128,-0.0
2500.129,-0.0
2500.13,-0.0
2500.131,-0.0
2500.132,-0.0
2500.133,-0.0
2500.134,-0.0
2500.135,-0.0
2500.136,-0.0
2500.137,-0.0
2500.138,-0.0
2500.139,-0.0
2500.14,-0.0
2500.141,-0.0
2500.142,-0.0
2500.143,-0.0
2500.144,-0.0
2500.145,-0.0
2500.146,-0.0
2500.147,-0.0
2500.148,-0.0
2500.149,-0.0
2500.15,-0.0
2500.151,-0.0
2500.152,-0.0
2500.153,-0.0
2500.154,-0.0
2500.155,-0.0
2500.156,-0.0
2500.157,-0.0
2500.158,-0.0
2500.159,-0.0
2500.16,-0.0
2500.161,-0.0
2500.162,-0.0
2500.163,-0.0
2500.164,-0.0
2500.165,-0.0
2500.166,-0.0
2500.167,-0.0
2500.168,-0.0
2500.169,-0.0
2500.17,-0.0
2500.171,-0.0
2500.172,-0.0
2500.173,-0.0
2500.174,-0.0
2500.175,-0.0
2500.176,-0.0
2500.177,-0.0
2500.178,-0.0
2500.179,-0.0
2500.18,-0.0
2500.181,-0.0
2500.182,-0.0
2500.183,-0.0
2500.184,-0.0
2500.185,-0.0
2500.186,-0.0
2500.187,-0.0
2500.188,-0.0
2500.189,-0.0
2500.19,-0.0
2500.191,-0.0
2500.192,-0.0
2500.193,-0.0
2500.194,-0.0
2500.195,-0.0
2500.196,-0.0
2500.197,-0.0
2500.198,-0.0
2500.199,-0.0
2500.2,-0.0
2500.201,-0.0
2500.202,-0.0
2500.203,-0.0
2500.204,-0.0
2500.205,-0.0
2500.206,-0.0
2500.207,-0.0
2500.208,-0.0
2500.209,-0.0
2500.21,-0.0
2500.211,-0.0
2500.212,-0.0
2500.213,-0.0
2500.214,-0.0
2500.215,-0.0
2500.216,-0.0
2500.217,-0.0
2500.218,-0.0
2500.219,-0.0
2500.22,-0.0
2500.221,-0.0
2500.222,-0.0
2500.223,-0.0
2500.224,-0.0
2500.225,-0.0
2500.226,-0.0
2500.227,-0.0
2500.228,-0.0
2500.229,-0.0
2500.23,-0.0
2500.231,-0.0
2500.232,-0.0
2500.233,-0.0
2500.234,-0.0
2500.235,-0.0
2500.236,-0.0
2500.237,-0.0
2500.238,-0.0
2500.239,-0.0
2500.24,-0.0
2500.241,-0.0
2500.242,-0.0
2500.243,-0.0
2500.244,-0.0
2500.245,-0.0
2500.246,-0.0
2500.247,-0.0
2500.248,-0.0
2500.249,-0.0
2500.25,-0.0
2500.251,-0.0
2500.252,-0.0
2500.253,-0.0
2500.254,-0.0
2500.255,-0.0
2500.256,-0.0
2500.257,-0.0
2500.258,-0.0
2500.259,-0.0
2500.26,-0.0
2500.261,-0.0
2500.262,-0.0
2500.263,-0.0
2500.264,-0.0
2500.265,-0.0
2500.266,-0.0
2500.267,-0.0
2500.268,-0.0
2500.269,-0.0
2500.27,-0.0
2500.271,-0.0
2500.272,-0.0
2500.273,-0.0
2500.274,-0.0
2500.275,-0.0
2500.276,-0.0
2500.277,-0.0
2500.278,-0.0
2500.279,-0.0
2500.28,-0.0
2500.281,-0.0
2500.282,-0.0
2500.283,-0.0
2500.284,-0.0
2500.285,-0.0
2500.286,-0.0
2500.287,-0.0
2500.288,-0.0
2500.289,-0.0
2500.29,-0.0
2500.291,-0.0
2500.292,-0.0
2500.293,-0.0
2500.294,-0.0
2500.295,-0.0
2500.296,-0.0
2500.297,-0.0
2500.298,-0.0
2500.299,-0.0
2500.3,-0.0
2500.301,-0.0
2500.302,-0.0
2500.303,-0.0
2500.304,-0.0
2500.305,-0.0
2500.306,-0.0
2500.307,-0.0
2500.308,-0.0
2500.309,-0.0
2500.31,-0.0
2500.311,-0.0
2500.312,-0.0
2500.313,-0.0
2500.314,-0.0
2500.315,-0.0
2500.316,-0.0
2500.317,-0.0
2500.318,-0.0
2500.319,-0.0
2500.32,-0.0
2500.321,-0.0
2500.322,-0.0
2500.323,-0.0
2500.324,-0.0
2500.325,-0.0
2500.326,-0.0
2500.327,-0.0
2500.328,-0.0
2500.329,-0.0
2500.33,-0.0
2500.331,-0.0
2500.332,-0.0
2500.333,-0.0
2500.334,-0.0
2500.335,-0.0
2500.336,-0.0
2500.337,-0.0
2500.338,-0.0
2500.339,-0.0
2500.34,-0.0
2500.341,-0.0
2500.342,-0.0
2500.343,-0.0
2500.344,-0.0
2500.345,-0.0
2500.346,-0.0
2500.347,-0.0
2500.348,-0.0
2500.349,-0.0
2500.35,-0.0
